2011-06-03 12:47:49.907123
location	title	price	value	numBought	url
south-bend	Watkins Family Dentistry	59	261	31	http://www.groupon.com/deals/watkins-family-dentistry?c=all&amp;p=1
south-bend	Cardinal Fitness	20	140	20	http://www.groupon.com/deals/cardinal-fitness-south-bend?c=all&amp;p=1
lincoln	$10 for $20 at It's All Roses	10	20	28	http://www.groupon.com/deals/its-all-roses?c=all&amp;p=1
lincoln	Hal Jaffe Name Art	60	159	3	http://www.groupon.com/deals/hal-jaffe-name-art-lincoln-1?c=all&amp;p=1
lincoln	Frank &amp; Simon's	5	10	198	http://www.groupon.com/deals/frank-and-simons-lincoln-nebraska?c=all&amp;p=1
lincoln	MetalPixs	39	104	7	http://www.groupon.com/deals/metalpixs-lincoln-nebraska?c=all&amp;p=1
miami	$26 for $52 at Miami Springs Golf and Country Club	26	52	280	http://www.groupon.com/deals/miami-springs-golf?c=all&amp;p=1
miami	Bloomberg Businessweek	19	40	39	http://www.groupon.com/deals/bloomberg-business-week-miami-florida?c=all&amp;p=1
miami	Gaylord Palms Resort	189	588	8	http://www.groupon.com/deals/gaylord-palms-resort-miami?c=all&amp;p=1
miami	Gansevoort Miami Beach	149	359	111	http://www.groupon.com/deals/gansevoort-miami-beach?c=all&amp;p=1
miami	Rex Art Framing	40	85	72	http://www.groupon.com/deals/rex-art-framing?c=all&amp;p=1
orlando	$39 for $247 at Lean Body Fitness Boot Camp	39	247	103	http://www.groupon.com/deals/lean-body-fitness-boot-camp-1?c=all&amp;p=1
orlando	LaserVue Orlando	2495	5000	10	http://www.groupon.com/deals/laservue?c=all&amp;p=1
orlando	Orange Bowl Lanes	29	74	110	http://www.groupon.com/deals/orange-bowl-lanes?c=all&amp;p=1
orlando	Healing Watters Spa	39	85	227	http://www.groupon.com/deals/healing-watters-spa?c=all&amp;p=1
orlando	Greater Orlando Medical Weight Loss	99	360	97	http://www.groupon.com/deals/go-medical-weight-loss?c=all&amp;p=1
